;;;;;;;;;;;;;X,,,,,,,,,,,,,,
change_national_value_on_title;Change National Value on;;;;;;;;;;;;;X,,,,,,,,,,,,,,
change_national_value_on_desc;Opens the National Value tab;;;;;;;;;;;;;X,,,,,,,,,,,,,,
change_national_value_off_title;Change National Value off;;;;;;;;;;;;;X,,,,,,,,,,,,,,
change_national_value_off_desc;Closes the National Value tab;;;;;;;;;;;;;X,,,,,,,,,,,,,,
switch_to_order_title;Switch to Order;;;;;;;;;;;;;X,,,,,,,,,,,,,,
switch_to_order_desc;bonuses:\n\n+10% land organisation, +5% org regain, +10 land unit starting experience.;;;;;;;;;;;;;X,,,,,,,,,,,,,,
switch_to_production_title;Switch to Production;;;;;;;;;;;;;X,,,,,,,,,,,,,,
switch_to_production_desc;bonuses:\n\n+5% tax efficiency, +10% RGO throughput, -5% factory input\n\n+5%factory output, +5% industry tech bonus, +1% mob size.;;;;;;;;;;;;;X,,,,,,,,,,,,,,
switch_to_equality_title;Switch to Equality;;;;;;;;;;;;;X,,,,,,,,,,,,,,
switch_to_equality_desc;bonuses:\n\n+0.02 Pop consciousness, +5% culture tech bonus, +1.25% mob sizez\n\n+20% assimilation rate.;;;;;;;;;;;;;X,,,,,,,,,,,,,,
switch_to_liberty_title;Switch to Liberty;;;;;;;;;;;;;X,,,,,,,,,,,,,,
switch_to_liberty_desc;bonuses:\n\n+20% Immigrant attraction, +15% political reform desire\n\n+5% commerce tech bonus, +1% mob size.;;;;;;;;;;;;;X,,,,,,,,,,,,,,
switch_to_education_title;Switch to Education;;;;;;;;;;;;;X,,,,,,,,,,,,,,
switch_to_education_desc;bonuses:\n\n+15% education efficiency, +20% tech bonus.;;;;;;;;;;;;;X,,,,,,,,,,,,,,
switch_to_diplomacy_title;Switch to Diplomacy;;;;;;;;;;;;;X,,,,,,,,,,,,,,
switch_to_diplomacy_desc;bonuses:\n\n+1 Diplomatic points modifier, +20% influence modifier, +15% cb generation speed\n\n+1.5 Mob size, -0.02 infamy.;;;;;;;;;;;;;X,,,,,,,,,,,,,,
annex_galicia_title;Annex Galicia;;;;;;;;;;;;;X,,,,,,,,,,,,,,
annex_galicia_desc;Austria Hungrary way, exlusive with: Integrate Munich and South German Federation;;;;;;;;;;;;;X,,,,,,,,,,,,,,
hungarian_crown_title;The Hungarian Crown Issue;;;;;;;;;;;;;X,,,,,,,,,,,,,,
hungarian_crown_desc;The Hungarian Kingdom Shall perish (Will make you go at war with Hungrary though event, giving a conquest casus belli of 2 years);;;;;;;;;;;;;X,,,,,,,,,,,,,,
austrian_empire_title;The Austrian Empire;;;;;;;;;;;;;X,,,,,,,,,,,,,,
